ROW_NAMES
TSPAN6
TNMD
DPM1
SCYL3
C1orf112
FGR
CFH
FUCA2
GCLC
NFYA
STPG1
NIPAL3
LAS1L
ENPP4
SEMA3F
CFTR
ANKIB1
CYP51A1
KRIT1
RAD52
BAD
LAP3
CD99
HS3ST1
AOC1
WNT16
HECW1
MAD1L1
LASP1
SNX11
TMEM176A
M6PR
KLHL13
CYP26B1
ICA1
DBNDD1
ALS2
CASP10
CFLAR
TFPI
NDUFAF7
RBM5
MTMR7
SLC7A2
ARF5
SARM1
POLDIP2
PLXND1
AK2
CD38
FKBP4
KDM1A
RBM6
CAMKK1
RECQL
VPS50
HSPB6
ARHGAP33
NDUFAB1
PDK4
SLC22A16
ZMYND10
ABCB5
ARX
SLC25A13
ST7
ST7-OT3
CDC27
SLC4A1
CALCR
HCCS
DVL2
PRSS22
UPF1
SKAP2
SLC25A5
MCUB
HOXA11
POLR2J
DHX33
MEOX1
THSD7A
LIG3
RPAP3
ACSM3
REXO5
CIAPIN1
SPPL2B
FAM214B
COPZ2
PRKAR2B
MSL3
CREBBP
TSPOAP1
MPO
PON1
GCFC2
WDR54
CROT
ABCB4
KMT2E
RHBDD2
SOX8
IBTK
ZNF195
MYCBP2
FBXL3
ITGAL
PDK2
ITGA3
ZFX
LAMP2
ITGA2B
ASB4
GDE1
REX1BD
CRLF1
OSBPL7
TMEM98
YBX2
KRT33A
MAP3K14
ABCC8
CACNG3
TMEM132A
AP2B1
TAC1
ZNF263
CX3CL1
SPATA20
CACNA1G
TNFRSF12A
DLX6
MAP3K9
RALA
BAIAP2L1
KDM7A
ETV1
AGK
ALDH3B1
TTC22
PHTF2
CCL26
FARP2
USH1C
GGCT
DBF4
TBXA2R
IFRD1
LGALS14
COX10
GTF2IRD1
PAF1
VPS41
ARHGAP44
ELAC2
SCIN
ARSD
PNPLA4
MYH13
ADIPOR2
CDKL3
UPP2
PRSS21
MARK4
PROM1
CCDC124
CEACAM21
PAFAH1B1
NOS2
DNAH9
KIAA0100
SLC13A2
GAS7
TRAPPC6A
MATK
CEACAM7
CD79B
SCN4A
ST7L
TKTL1
PAX6
RPUSD1
RHBDF1
LUC7L
CACNA2D2
BAIAP3
TSR3
PIGQ
CRAMP1
TEAD3
SELE
DNAJC11
FMO3
MYLIP
NOX1
E2F2
PSMB1
SYN1
JARID2
CDKL5
CAMK1G
CDK11A
NADK
TFAP2B
TFAP2D
DLEC1
CYTH3
ADAM22
SYPL1
CYB561
SPAG9
CELSR3
AASS
PLEKHG6
SS18L2
MPND
MGST1
CRY1
PGLYRP1
NFIX
ST3GAL1
MMP25
IL32
PKD1
MAPK8IP2
MED24
RHOBTB2
HEATR5B
SEC62
RPS20
CSDE1
UBE3C
REV3L
TENM1
PAX7
MASP2
IYD
FAM76A
TRAF3IP3
POMT2
VTA1
MLXIPL
BAZ1B
RANBP9
ETV7
SPRTN
EEF1AKNMT
DYRK4
ZNF207
UQCRC1
STARD3NL
CD9
HHATL
NCAPD2
IFFO1
GIPR
PHF7
SEMA3G
NISCH
STAB1
FUZ
SLC6A13
IDS
PRSS3
ZNF200
CD4
LRRC23
BTK
HFE
SCMH1
FYN
HIVEP2
FMO1
ELOA
LYPLA2
CLCN6
MRC2
NME1-NME2
SLC6A7
TSPAN9
BTBD7
APBA3
MKS1
ABHD5
ANOS1
AKAP8L
MBTD1
UTP18
RNF216
TTC19
PTBP1
DPF1
SYT7
LARS2
PIK3C2A
PLAUR
ANLN
WIZ
RABGAP1
DCN
QPCTL
PPP5C
CEP68
MAP4K3
ZBTB32
TYROBP
LDAF1
GABRA3
BRCA1
ERCC1
CD22
SEMA3B
MBTPS2
PRICKLE3
LTF
EXTL3
NR1H4
ELOVL5
ALOX5
KDM5D
CALCOCO1
UBR7
MAP4K5
EHD3
PSMC4
MAN2B2
SLC7A14
CLDN11
SLC25A39
MVP
NUB1
PGM3
RWDD2A
CLK1
POLR3B
ANGEL1
RNF14
DNASE1L1
DDX11
HEBP1
GPRC5A
MAMLD1
CD6
TACC3
UFL1
