ROW_NAMES,Halo_ARID4A_REPLICATE_dS_AVG,Halo_ARID4B_REPLICATE_dS_AVG,Halo_BRMS1_REPLICATE_dS_AVG,Halo_BRMS1L_REPLICATE_dS_AVG,Halo_GATAD1_REPLICATE_dS_AVG,HDAC1.Halo_REPLICATE_dS_AVG,HDAC2_Halo_REPLICATE_dS_AVG,Halo_ING1_REPLICATE_dS_AVG,Halo_ING2_REPLICATE_dS_AVG,MORF4L1_Halo_REPLICATE_dS_AVG,Halo_PHF12_REPLICATE_dS_AVG,Halo_RBBP4_REPLICATE_dS_AVG,Halo_SAP30_REPLICATE_dS_AVG,Halo_SAP30L_REPLICATE_dS_AVG,Halo_SAP130_REPLICATE_dS_AVG,SIN3A_Halo_REPLICATE_dS_AVG,SIN3B_2_Halo_REPLICATE_dS_AVG,Halo_SUDS3_REPLICATE_dS_AVG,complex
TUBA1A,-14.35132,-21.79668,86.21686,-16.04929,0.4851066,-0.1843524,-28.26022,-21.79915,-14.11685,-21.19524,10.26679,-20.9756,-14.08637,52.33961,47.1667,8.733591,464.7629,-14.31977,1
CHD4,-1.26269,-5.982628,-3.536741,-5.206533,-5.759795,797.1845,235.821,-5.298102,-2.038687,-6.61572,-3.778934,244.1316,-3.449404,-7.167061,-5.723303,-6.717064,0,-7.972951,0
GCN1,0,-1.706222,2.9433,0,0,-1.232144,-6.306359,-1.974938,-0.6506633,-1.94692,0,-2.200496,16.7074,56.98585,12.92711,-2.229486,20.91873,-1.315746,0
GATAD1,0,0,0,0,1972.821,-36.0994,-20.08531,0,0,-9.883369,27.61821,-3.381434,0,-3.212931,0,0,-20.71616,0,0
GATAD2B,-2.617218,-2.831276,0,0,0,391.7733,334.7004,-1.524541,-0.9506779,0,0,82.51794,0,-2.373033,-4.050654,-1.60939,0,-3.707392,0
MTA1,0,0,0,-1.960244,0,2167.005,1258.157,0,-1.272657,0,0,674.5179,0,0,-0.6787882,0,0,-1.925579,0
MBD3,0,0,0,0,0,721.7223,454.1507,0,0,0,0,105.7334,0,0,0,0,0,-2.611899,0
MTA2,0,-2.546044,0,0,0,1252.618,466.9442,0,-1.132995,0,0,338.6403,0,0,0,0,0,-1.692809,0
MBD2,0,0,0,0,0,175.7935,99.91274,0,0,0,0,57.55785,0,0,0,0,0,0,0
GATAD2A,0,-1.053747,0,0,0,161.917,170.1187,0,0,0,0,94.12515,0,0,0,0,0,0,0
CHD3,0,-0.867093,-1.382165,0,-1.507199,850.0772,469.5518,-1.702253,-0.4256759,-1.341606,0,85.52847,-0.5093617,-2.087582,-0.5890582,-1.281505,0,-2.671219,0
PRKDC,0,-7.875514,12.53342,-5.071808,-3.450315,19.00648,-19.49504,-7.411448,-4.52514,-7.750329,-2.942544,-6.01551,51.39823,141.5717,16.0402,-10.41939,13.04833,-1.261277,0
