Gene Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue
LRRC37A15P,0.337890618,1.706074026,2.4574118,0.694256464,0.487521389
AC010261.2,11.34141772,0.206555592,0.297533674,0.69422593,0.487540534
AC002310.3,1.328846006,0.481924881,0.694201277,0.694214915,0.48754744
ZNF232,25.16297999,-0.250233473,0.360502002,-0.694125058,0.487603785
AL445604.1,14.76881736,-0.217644084,0.313552673,-0.694122877,0.487605153
GOLGA7,1.058904779,-0.737239202,1.062235847,-0.694044739,0.487654152
BX470209.2,0.96447239,-0.679630135,0.979296291,-0.693998478,0.487683164
AC093904.4,13.15978765,-0.168212871,0.242388933,-0.693979173,0.48769527
AC005871.1,0.410239037,1.191963925,1.717692454,0.69393326,0.487724064
PRICKLE1,22.75346026,-0.161481366,0.23272444,-0.693873694,0.487761422
SELENOI,4.848666739,0.391983415,0.564922052,0.693871683,0.487762683
AC132192.1,14.21585074,-0.220463581,0.317733711,-0.693862732,0.487768297
AC025871.1,0.595598569,0.756398381,1.09014788,0.693849334,0.4877767
AC096741.1,38.87817886,-0.158673171,0.228708513,-0.693779034,0.487820793
RNA5SP483,0.501280541,-0.708812697,1.021673474,-0.693776157,0.487822597
PIAS4,3.145876876,0.413695862,0.596319995,0.693748098,0.487840197
SLC23A1,27.9142013,0.182621846,0.263284921,0.693628198,0.487915405
RN7SL76P,1.750859485,0.449054619,0.647416967,0.693609593,0.487927076
TANGO2,21.5384668,0.139282095,0.20082496,0.693549723,0.487964633
SIX2,0.640420507,-0.73984608,1.066761406,-0.6935441,0.48796816
AC011525.2,3.001649923,0.357086255,0.514881411,0.693531068,0.487976336
ZNF487,24.52851316,0.18468729,0.266311018,0.69350225,0.487994415
EGLN1,42.18925407,0.144766014,0.208773914,0.693410453,0.488052004
G6PC3,46.30668606,0.126145472,0.181921683,0.693405367,0.488055195
LINC02003,13.09443269,0.194480507,0.280472684,0.693402666,0.48805689
AL133395.1,3.95619049,-0.297987376,0.429758036,-0.693384069,0.488068557
AC091046.2,7.055623519,0.307556034,0.443602799,0.693314008,0.488112514
SUB1,82.68637679,0.098401475,0.141935773,0.693281707,0.48813278
AC026353.1,49.22871694,-0.192335025,0.277453121,-0.693216295,0.488173823
BRWD1-AS2,0.382985438,1.209132857,1.744299597,0.693191043,0.488189669
AL357033.2,5.6847021,-0.33823936,0.487972125,-0.693153036,0.488213517
AC008105.3,21.72746781,0.151471139,0.218525215,0.693151765,0.488214315
GJA4,10.41499245,-0.227197211,0.327788666,-0.693121009,0.488233614
C20orf194,6.822388299,-0.224914923,0.324500402,-0.693111386,0.488239653
AC087878.1,4.539260584,-0.371886626,0.536591477,-0.693053545,0.488275949
RPS29P33,1.351058014,-0.605585912,0.873828619,-0.693025954,0.488293264
AC025423.4,330.5167216,-0.137264101,0.198066336,-0.693020854,0.488296464
PLK3,8.652882292,0.289037921,0.417070454,0.693019412,0.488297369
AC008543.4,4.230393696,0.284972868,0.411206432,0.693016561,0.488299158
AVIL,273.9924445,0.194689065,0.280965626,0.692928414,0.488354477
MGLL,32.20431611,-0.191084624,0.275774469,-0.692901793,0.488371184
SHROOM3-AS1,4.283323594,0.302277263,0.436290837,0.692834314,0.488413535
DNAJC19P7,3.004668007,0.40079966,0.578578252,0.692731983,0.488477764
AC090114.2,69.84692138,0.088077818,0.127155145,0.692679935,0.488510434
MT-TE,637.9999292,-0.427261291,0.616863458,-0.692635114,0.488538568
AL669831.7,76.52614963,-0.085869756,0.123994489,-0.692528815,0.488605297
TMEM87B,1.94592302,0.62114653,0.89694264,0.692515332,0.488613761
ADAMTS17,7.401383339,0.408502588,0.58988436,0.692512999,0.488615225
GLIPR1,804.9486763,-0.106509711,0.153804238,-0.692501795,0.488622259
LINC01035,2.452063047,-0.350383776,0.505994547,-0.692465519,0.488645032
REV3L,269.1562687,0.085620369,0.123646913,0.692458609,0.488649371
SGCB,6.828652805,-0.274278716,0.396122104,-0.692409521,0.488680188
AC092611.1,23.72935038,0.143551551,0.207322028,0.692408583,0.488680777
WDR5,2.451319286,-0.510874688,0.737841895,-0.692390458,0.488692156
LINC01159,0.421742883,-1.039143635,1.500865027,-0.692363148,0.488709303
ARMH1,25.01336496,0.166102041,0.239909718,0.692352284,0.488716123
BNIP3P39,1.281353375,0.509189282,0.735502127,0.692301577,0.48874796
PGPEP1L,18.94718596,-0.231545771,0.334467909,-0.692280979,0.488760893
FRG2DP,0.634879341,1.346547939,1.945166843,0.692253183,0.488778345
SF3A2,3.749339375,-0.391188111,0.565101719,-0.69224371,0.488784293
PIKFYVE,11.54808057,0.596182481,0.861258057,0.69222282,0.48879741
LINC02606,12.4797186,-0.235705823,0.340514715,-0.692204515,0.488808904
LZTR1,52.20866733,-0.157144852,0.227027944,-0.692182865,0.488822498
ST13,17.00676572,0.235519075,0.34030095,0.69209056,0.48888046
RS1,36.07326895,0.139490245,0.201560209,0.692052492,0.488904365
AC126615.1,1.979706288,0.488589979,0.706005395,0.692048506,0.488906868
KDM4A,14.37734237,0.295949074,0.427655146,0.692027389,0.488920129
LINC02731,8.650584776,0.246563767,0.356310709,0.691990896,0.488943046
RNU6-583P,0.286000299,-1.391042238,2.010204953,-0.691990255,0.488943449
AMH,12.762798,-0.359688358,0.519808626,-0.691963042,0.488960539
AC107956.2,2.398112528,0.437911647,0.632860664,0.691955864,0.488965047
DYDC2,3.708377535,0.319553675,0.461824967,0.691936768,0.488977039
AC011978.2,0.436465553,1.060710829,1.533111277,0.691868128,0.489020148
RAB39A,8.678988186,-0.239691572,0.346463543,-0.691823357,0.489048267
AC104365.4,22.94108614,-0.15237627,0.220254009,-0.69182064,0.489049973
SMARCC1,6.565048657,0.30543097,0.441492041,0.691815349,0.489053296
RFPL3,1.564978206,-0.490692886,0.709296597,-0.691802115,0.489061609
TFAP2A,1.680082585,0.713130367,1.030904719,0.691751968,0.489093105
AC067945.2,1.889000471,-0.437661871,0.63273062,-0.691703322,0.489123661
CCAR2,84.26026579,0.169216032,0.244728489,0.691443945,0.489286596
MRAP2,8.179792697,0.219840995,0.317946716,0.691439741,0.489289237
LANCL1-AS1,47.24918187,0.115209514,0.166622867,0.691438795,0.489289831
IFT27,1.20738708,-0.846570433,1.224361477,-0.691438312,0.489290135
LMCD1-AS1,186.4872523,-0.104108246,0.150574613,-0.691406369,0.489310203
OR51A9P,0.599495103,0.795790656,1.151010509,0.691384354,0.489324034
AP000959.1,0.520138332,0.964606308,1.395259506,0.691345448,0.489348477
AC004918.3,7.804941995,0.197762723,0.286068733,0.691311914,0.489369546
CLEC11A,0.231804912,-1.232438401,1.782769214,-0.691305634,0.489373492
CCNYL2,14.92102351,0.20036744,0.289888979,0.691186813,0.48944815
DAPL1,1.164426164,0.574549676,0.831329969,0.691121092,0.489489446
LINC01913,14.95023854,-0.293320085,0.424461855,-0.691039917,0.489540456
OR2T2,1.50729116,1.167429265,1.689453927,0.691009827,0.489559366
LINC02554,1.554840271,0.592190925,0.857016121,0.690991581,0.489570832
C1orf122,8.260921408,-0.303754027,0.439611431,-0.690960256,0.489590518
MTND5P33,0.48499473,-1.205167751,1.744367397,-0.690891009,0.489634037
PRR13,8.256452472,0.235760357,0.341241217,0.690890622,0.48963428
CCNY,33.93403433,0.133179395,0.192773395,0.690859827,0.489653634
AC026320.1,1.809042885,0.423251598,0.612707214,0.690789317,0.48969795
INSRR,2.248766452,-0.41603387,0.60228296,-0.690761482,0.489715445
AC079031.1,0.218725618,-1.451623386,2.101701511,-0.690689605,0.489760624
RPA1,2.884129541,-0.42288265,0.612276326,-0.690672875,0.489771139
ELMO2,20.71703313,0.16768687,0.242789455,0.690667847,0.4897743
AC105450.1,6.646335748,-0.326500855,0.472780321,-0.690597388,0.48981859
MIR4780,4.597419523,0.291237383,0.421726466,0.690583605,0.489827253
ZNF777,1.140053587,-0.661393253,0.957760548,-0.690562223,0.489840695
DOK4,12.54518039,-0.182880975,0.264831205,-0.690556744,0.489844139
AC044839.1,124.3292322,0.126873386,0.183729736,0.690543559,0.489852427
ALMS1,11.13198119,0.317730735,0.460162742,0.690474709,0.489895709
AC040173.1,0.566475725,-0.869938159,1.259968921,-0.69044414,0.489914927
AC010327.7,14.27587104,-0.163830513,0.237294342,-0.690410531,0.489936056
AC004253.1,11.23169272,0.223860636,0.324244672,0.69040652,0.489938577
AL035665.1,1.247211719,0.594926546,0.861739808,0.690378395,0.489956259
AP004289.1,39.17776898,-0.116788514,0.169186311,-0.690295289,0.49000851
PSAT1P3,0.607117827,-0.721308327,1.044988914,-0.690254526,0.490034139
ZNF555,16.23942287,0.164402872,0.238185332,0.690230884,0.490049004
FXR2,9.718152595,0.304889835,0.441757245,0.690175065,0.490084102
RNA5SP197,0.727075176,0.814726335,1.180478422,0.690166223,0.490089662
AL354994.1,0.586202736,-1.3878594,2.011072076,-0.690109229,0.4901255
AL008628.1,5.599559892,-0.303136274,0.439339418,-0.689981963,0.490205531
SHROOM4,11.32641001,0.359441057,0.520950518,0.689971589,0.490212054
AL353633.1,0.269994377,-1.436892367,2.08280312,-0.689883914,0.490267193
AC106791.1,19382.07892,0.142567895,0.206670651,0.689831352,0.49030025
OR10AD1,34.15151334,0.179574,0.26036479,0.689701551,0.49038189
LRRK2,10.64473645,0.410341768,0.594979807,0.689673436,0.490399575
AC022400.6,24.69098442,0.144574517,0.209628702,0.689669475,0.490402066
RN7SL679P,3.738672954,-0.334683179,0.48528238,-0.689666869,0.490403705
OR7E126P,17.63209638,0.170195496,0.246783035,0.689656388,0.490410298
AC008267.4,0.268418749,-1.418884198,2.057581974,-0.689588175,0.490453206
AL162731.1,1.928319131,0.409376457,0.59365922,0.689581571,0.49045736
APEH,4.587337621,-0.327631787,0.475123242,-0.689572217,0.490463244
AC096775.1,2.74790645,-0.366740386,0.531851625,-0.689553945,0.490474738
AL139243.1,3.184720378,0.380822497,0.552299822,0.68952131,0.490495268
SPATA17,80.73723869,-0.136357621,0.197761268,-0.689506203,0.490504771
TRMT44,24.35871095,0.133302871,0.193342984,0.689463191,0.490531829
GRTP1,24.89483938,-0.211320501,0.306530462,-0.689394783,0.490574865
ERCC5,11.70330639,-0.22362485,0.324406178,-0.689335977,0.490611862
OR52S1P,0.280221939,1.417365388,2.05614182,0.689332503,0.490614048
RPS27A,35.85197944,0.123558595,0.179251844,0.689301665,0.49063345
AC106872.12,15.62130496,0.147234172,0.213605245,0.689281634,0.490646053
NABP2,18.69028805,-0.16237865,0.23557939,-0.689273583,0.490651119
SEPTIN9-DT,0.535683651,1.230840314,1.785712705,0.689271186,0.490652627
AL161447.1,1.113131163,0.656415461,0.952362409,0.689249654,0.490666174
MIOX,4.352374714,-0.31042092,0.450391043,-0.689225341,0.490681472
GPR62,3.880620851,-0.316947979,0.459887833,-0.689185396,0.490706606
COX6CP13,0.823133046,0.651323073,0.945173976,0.6891039,0.490757886
SNX3,2.788966602,-0.454521368,0.659589349,-0.689097495,0.490761916
COG4,7.007140545,-0.326098328,0.473253755,-0.689055976,0.490788043
ASPRV1,0.748331549,0.815729768,1.184104982,0.68889987,0.490886281
C8orf37,10.05049632,-0.184611959,0.267992245,-0.688870525,0.49090475
PARP10,3.388127358,0.460098084,0.667916228,0.688855975,0.490913907
UPF3AP3,0.407161852,-0.925244022,1.343180341,-0.688845715,0.490920364
SLC9A7,81.82102865,-0.103489475,0.150247442,-0.688793585,0.490953173
LAMTOR2,0.572634572,0.882813251,1.281695304,0.688785587,0.490958207
MINAR1,1.413943408,0.628408256,0.912411099,0.688733683,0.490990876
AC008403.2,8.482740658,-0.271037075,0.393538646,-0.688717812,0.491000865
NHLRC1,10.60565126,-0.21059856,0.305792808,-0.688696902,0.491014026
ETV4,16.96288419,0.161702449,0.234798696,0.688685465,0.491021225
DPF2,66.67045666,-0.110104406,0.159883024,-0.688656015,0.491039762
AC019294.1,0.211433296,-1.457169108,2.115989261,-0.688646741,0.4910456
TXNDC12-AS1,5.334607013,0.26292795,0.38180943,0.688636605,0.491051979
AKAP12,18.04665684,0.189816412,0.275661197,0.688585896,0.491083899
ING1,14.51540894,-0.186056026,0.270206214,-0.688570493,0.491093595
SLC31A1P1,0.261838914,-1.44453733,2.097886388,-0.68856795,0.491095196
AC004083.1,10.29535902,-0.231037393,0.335534457,-0.688565327,0.491096847
VPS11,4.823780986,0.340397593,0.494410829,0.688491377,0.491143399
DCXR-DT,6.04586319,0.296571624,0.430762827,0.688480077,0.491150512
ZNF787,2.008471895,-0.416722384,0.605283514,-0.688474697,0.491153899
RPL13A,65.48069159,-0.191346916,0.277931725,-0.688467344,0.491158528
AC111200.1,5.081989209,-0.288773741,0.419452325,-0.688454263,0.491166763
AL136439.1,1.260136751,0.512196884,0.743984621,0.688450902,0.491168878
NDUFB4P11,5.533488157,0.320920521,0.466173132,0.688414882,0.491191555
AL031767.1,1.309455264,-0.64191424,0.932464261,-0.688406266,0.491196979
AC004975.2,0.758895913,0.73689455,1.07047804,0.688378951,0.491214176
AC009142.1,32.08544307,-0.124826889,0.181338048,-0.688365683,0.491222528
NTN1,15.22522104,0.265626059,0.385880937,0.688362739,0.491224382
KCNV1,84.5105658,0.126114119,0.18321332,0.688345796,0.491235049
NLGN1,5.740403799,0.569966817,0.828099201,0.688283258,0.491274422
AL591846.1,8.695891526,0.249586919,0.362628895,0.688270908,0.491282198
RAB33B,30.11114547,-0.222565592,0.323369335,-0.688270558,0.491282419
AC105390.1,0.634668187,-1.586218546,2.304654916,-0.688267269,0.491284489
AC016727.1,153.052741,0.109302738,0.158816332,0.688233613,0.49130568
TFDP2,36.31324039,-0.165215761,0.240067187,-0.688206344,0.49132285
C18orf21,1.888276553,-0.464645273,0.675182188,-0.688177623,0.491340934
YIF1B,10.43134535,-0.290636353,0.422360007,-0.688124699,0.491374258
MAPK14,8.349535293,0.318181325,0.462389697,0.688123735,0.491374865
CDC23,9.075940213,-0.250913673,0.364646733,-0.688100702,0.491389368
AC018809.2,165.3589216,0.154817808,0.225035799,0.687969686,0.491471871
NPAP1P4,0.489292313,-0.920644079,1.338236135,-0.687953385,0.491482137
EFNA5,6.163209766,0.492169026,0.715440726,0.687924252,0.491500483
SLX4,20.74726904,-0.146670457,0.213218078,-0.687889406,0.491522428
AC010737.1,0.787792771,0.765360466,1.112633177,0.687882118,0.491527019
PTGS2,1.604611418,-0.826960901,1.202205218,-0.687869997,0.491534652
ASPN,91.66151933,-0.154219304,0.224204373,-0.687851455,0.49154633
AC073655.1,1.007192934,0.528036903,0.767679409,0.687835178,0.49155658
AC002480.2,25.07354038,0.202324605,0.294169682,0.687781975,0.491590088
AL133268.1,0.635535673,0.721128416,1.048538498,0.687746246,0.491612592
FZD2,3.110283563,-0.346835024,0.504318116,-0.687730646,0.491622417
CGNL1,10.84830682,-0.266638918,0.387727675,-0.687696379,0.491644001
KPNA3,6.869169997,-0.305484971,0.444225652,-0.687679718,0.491654495
AC008443.3,2.414382756,0.432232913,0.628563002,0.68765249,0.491671645
PHACTR1,59.33215765,0.19146075,0.278451423,0.687591209,0.491710246
AC073842.2,1.87639662,0.457273797,0.665048934,0.687579175,0.491717826
THAP8,0.792872728,-0.605667615,0.880885523,-0.687566771,0.491725639
RNU6-432P,1.389069617,-0.497414017,0.723441069,-0.687566739,0.49172566
VN1R93P,0.80665181,-0.693286888,1.008327817,-0.687561006,0.491729271
BABAM2,8.579638017,-0.185641912,0.2700094,-0.687538701,0.491743322
AC105942.1,14.40603531,-0.225940923,0.328627573,-0.687528808,0.491749554
AL354863.1,37.51736816,0.155187656,0.225719857,0.687523275,0.491753039
CSAG3,0.481361046,-0.837273007,1.217836383,-0.687508617,0.491762273
LINC01679,0.365707865,-1.04517445,1.520312887,-0.687473256,0.491784548
PREX2,36.55667926,-0.193437742,0.28137505,-0.687472972,0.491784727
SAMD3,31.18356533,-0.17019282,0.247572025,-0.687447702,0.491800646
NRXN1,13.7254157,-0.352857799,0.513306788,-0.687420871,0.491817549
BDKRB2,0.582236656,-0.850599028,1.237443763,-0.687383987,0.491840786
OXGR1,2.015862631,0.463958219,0.674976391,0.687369552,0.49184988
AC025678.1,2.742981952,0.39019454,0.56773436,0.687283644,0.491904004
RN7SL152P,1.107186053,0.758160172,1.103126776,0.687282902,0.491904471
AP000845.1,13.14392396,0.170066689,0.24750899,0.68711318,0.492011409
PTDSS2,3.674598883,-0.516875329,0.752380798,-0.686986338,0.492091338
LINC02443,0.95439208,-0.678756405,0.988072493,-0.686950006,0.492114233
RXRG,1.443124158,0.556892772,0.810774758,0.686864961,0.492167829
ARMCX5-GPRASP2,102.2505848,0.16718728,0.243426634,0.686807675,0.492203933
AL590381.1,0.258206584,-1.198959574,1.745822549,-0.686759129,0.492234529
H3P8,2.443090265,0.329375519,0.479615046,0.686749762,0.492240433
POLR3A,19.77406995,-0.153362863,0.223329072,-0.686712489,0.492263926
H3P2,3.724593191,-0.281891168,0.410526988,-0.686656849,0.492298995
AL731563.1,12.79824656,0.191028336,0.278225705,0.686594852,0.492338074
RLBP1,1.597606343,-0.450157106,0.655650542,-0.686580849,0.4923469
RSRP1,115.4415536,-0.092292498,0.134440929,-0.686491075,0.49240349
RNF220,25.05948144,-0.12020437,0.175105799,-0.686467103,0.492418602
AL158011.1,22.35988858,0.183283163,0.267039672,0.686351815,0.492491282
TMEM220,63.67748033,-0.129908702,0.189285428,-0.686311159,0.492516913
AC113208.4,0.868247677,0.730169008,1.063904189,0.686310869,0.492517097
LINC00501,1.523166369,-0.558744397,0.81417039,-0.686274524,0.492540011
DYDC1,0.413777282,1.033123224,1.505480091,0.686241705,0.492560703
AL445074.1,0.260916849,1.422606441,2.073046211,0.686239618,0.492562018
ATM,118.104702,-0.105628569,0.153932504,-0.686200552,0.49258665
AC010530.1,1.777922053,0.560343296,0.816665034,0.686136021,0.492627338
OOEP,1.100262585,-0.75586899,1.101689428,-0.686099885,0.492650124
FDPS,6.846502442,0.251835428,0.367073328,0.686062996,0.492673384
ADGRV1,85.0741434,-0.07555905,0.110135844,-0.686053215,0.492679552
BNIP3P40,9.518594674,0.226953653,0.330854203,0.685962732,0.49273661
MPHOSPH9,20.57961599,0.20853914,0.304030534,0.68591512,0.492766635
SLC36A3,5.46309332,-0.266796619,0.388968461,-0.685908102,0.49277106
DDX21,6.273752414,0.256450499,0.373944566,0.68579817,0.49284039
AC092614.1,1.390946759,0.599310018,0.873972576,0.685730919,0.492882805
SNX19P1,0.479585943,1.21749643,1.775609833,0.685677905,0.492916243
CYP3A5,466.6752105,0.067601381,0.098590701,0.68567705,0.492916782
RESF1,3.390145246,-0.604801576,0.882077708,-0.685655663,0.492930271
AHDC1,45.95989201,0.178357937,0.260145739,0.685607758,0.492960488
AC017002.3,1.722232208,0.573003589,0.835805096,0.685570824,0.492983785
ZNF141,93.81603717,0.106059365,0.154704617,0.685560441,0.492990335
AK3P5,16.02787845,-0.153835183,0.224394142,-0.68555793,0.492991918
THA1P,0.478115211,-0.956615983,1.395408373,-0.685545537,0.492999735
AC025754.1,0.391416546,-1.209058375,1.763650992,-0.685542877,0.493001414
PTGIR,34.38693269,-0.160007436,0.233413058,-0.685511931,0.493020935
AC003688.2,41.92258138,-0.159125593,0.232127143,-0.685510496,0.493021839
AATK,43.74053184,-0.169978069,0.24796677,-0.685487289,0.493036479
PGR,22.8323243,0.364627801,0.531969462,0.685429949,0.493072651
GTF2IP11,17.97703285,-0.152115811,0.221928112,-0.685428309,0.493073685
COQ8B,11.8884336,-0.188898922,0.275600512,-0.685408458,0.493086208
PLRG1,2.287134464,0.729122983,1.063864465,0.685353264,0.493121028
AL049541.1,0.736903744,0.78109861,1.139717989,0.685343758,0.493127025
AC009949.1,2.472444105,-0.348369625,0.508332806,-0.685318005,0.493143272
CRACR2B,18.28133171,0.311126155,0.454010568,0.68528395,0.493164758
OR4D9,81.32154913,0.074625103,0.108896757,0.685283061,0.493165319
LINC02221,0.377311314,1.038175055,1.515040813,0.685245603,0.493188952
CXCL16,24.98231595,-0.170971204,0.24954855,-0.685122008,0.493266934
AP003031.1,0.9093371,-0.691047065,1.008650596,-0.685120365,0.49326797
CD19,1.99612721,0.438049022,0.639416735,0.685075942,0.493296001
AC092335.1,7.103002111,0.24914821,0.363717268,0.685005173,0.493340656
TTC6,15.51085869,-0.158350396,0.231188847,-0.684939599,0.493382037
LINC01502,3.881856521,0.402541947,0.58777727,0.684854566,0.493435699
AC124852.1,201.5038734,0.063306538,0.092448362,0.684777284,0.493484472
AC019155.1,2.080102019,-0.37653599,0.549870491,-0.684772136,0.493487721
ACBD4,12.53808864,-0.251775121,0.367688958,-0.68475029,0.493501508
TRIM21,2.240912049,-0.627219646,0.916053827,-0.68469737,0.493534909
IDH1,11.19220773,-0.228411698,0.333602435,-0.684682345,0.493544392
AC092053.3,61.05740861,0.276655168,0.404077653,0.684658422,0.493559492
AC103592.1,2.189257476,0.428336636,0.625624921,0.68465405,0.493562251
MED25,30.94509318,-0.152862498,0.223287924,-0.68459814,0.493597541
SLAIN1,0.662636115,-0.664488197,0.970834109,-0.684450815,0.493690538
KRT9,0.591429391,-1.073175486,1.567965247,-0.684438311,0.493698431
COMETT,0.336066704,1.652112503,2.414018505,0.6843827,0.493733537
CD1B,0.609081217,1.074920722,1.570697911,0.684358663,0.493748712
CD300LB,8.304980334,-0.255458789,0.373316239,-0.684295947,0.493788306
FAM160A2,0.463447707,0.913931069,1.335827216,0.684168625,0.493868692
SPOP,24.50065323,-0.160030017,0.233919964,-0.684122956,0.493897527
AC016065.1,29.3766487,0.096412517,0.140937159,0.684081599,0.493923641
LINC01634,8.241642669,0.20693632,0.302527745,0.684024269,0.493959841
DACH2,3.516349564,0.545651335,0.797752394,0.683985832,0.493984112
AC026904.1,6.121446154,-0.251536535,0.367781197,-0.683929839,0.494019471
AC126323.2,33.73095187,0.167392485,0.244786575,0.683830333,0.49408231
RETREG2,10.81366896,-0.235645741,0.34460356,-0.68381691,0.494090787
TRPM6,8.509378848,0.204569801,0.299165723,0.683800934,0.494100877
AC036103.1,23.6238084,-0.125272985,0.183206257,-0.683781151,0.49411337
AC097493.1,0.417928862,-1.637968758,2.395595471,-0.683741799,0.494138224
AC068688.1,2.817518593,-0.337292887,0.493328504,-0.683708491,0.494159261
AL049641.1,0.673112154,-0.79247591,1.159086746,-0.683707162,0.4941601
AL512306.2,5.455025987,0.261070012,0.381880947,0.683642412,0.494200996
JTB,2.175681888,-0.49836553,0.729077344,-0.683556462,0.494255285
FASLG,3.479973318,0.336323158,0.492084217,0.683466664,0.494312008
Z99943.1,0.330109135,1.205852928,1.764324446,0.683464388,0.494313446
RN7SL47P,5.050597744,0.28900039,0.422849867,0.683458629,0.494317084
LINC01668,0.56633344,-0.799046775,1.169146094,-0.683444763,0.494325843
TMED10P1,24.26064061,0.19046616,0.278687467,0.683439989,0.494328858
CSP1,21.05870794,0.207924345,0.304261179,0.683374544,0.494370201
HMGB1P17,0.496661495,0.978554993,1.431970957,0.683362318,0.494377925
EIF2S2P7,0.383607375,1.092098828,1.598276498,0.683297808,0.494418679
TAS2R4,4.868385077,0.26341884,0.385518332,0.68328486,0.494426859
GABBR1,3.184467045,-0.572058584,0.83733066,-0.683193165,0.494484791
CD99L2,52.58607325,-0.118623766,0.173638891,-0.683163577,0.494503485
MED4-AS1,55.1936087,-0.102351631,0.149827211,-0.683131123,0.494523991
AL121612.2,0.527486886,0.744096005,1.089314193,0.68308667,0.494552078
AP003357.1,2.156696179,-0.389712932,0.570536572,-0.683063894,0.494566469
RN7SL665P,1.084048103,-0.539110117,0.789293335,-0.683028848,0.494588614
AL360181.2,0.721438062,-0.646477158,0.946494671,-0.683022501,0.494592624
AC106798.1,2.419121874,-0.381274608,0.55825357,-0.682977464,0.494621083
AC010202.1,0.671885124,0.665541411,0.974503911,0.682954069,0.494635867
GSTM4,1.616096674,-0.429978809,0.629613216,-0.682925323,0.494654032
AC022165.1,5.009095421,0.26298707,0.385093641,0.682917196,0.494659167
GDF11,89.36885675,-0.069450561,0.101705227,-0.682861272,0.494694508
RPL24,88.70270591,0.10101368,0.147931705,0.682839962,0.494707975
AL031668.1,7.954703725,0.242940591,0.355791103,0.682818062,0.494721815
TIMM9P1,5.346161694,-0.275554809,0.403572681,-0.682788558,0.494740461
PRMT3,19.9000973,0.182617246,0.267465793,0.682768603,0.494753072
PPM1H,4.917249497,0.46315426,0.678386729,0.682728951,0.494778132
PSD2,0.353005979,1.213612827,1.777604161,0.68272389,0.494781331
AC093801.1,5.361314567,0.347731302,0.509329664,0.682723443,0.494781613
ZBTB44-DT,0.486430717,-0.920660877,1.348516741,-0.682721133,0.494783073
ALDH16A1,20.69464065,-0.126439965,0.185205614,-0.6827005,0.494796114
AC117528.1,0.781859989,-0.69986608,1.025147104,-0.682698197,0.494797569
AL132989.1,33.7434886,-0.111944284,0.163980529,-0.682668151,0.494816559
MYCBP,77.98418967,0.141548745,0.207352004,0.682649515,0.494828338
LINC02468,1.181203111,0.642281883,0.941027172,0.68253277,0.494902129
AFM,1.462856261,1.677184099,2.457467182,0.682484841,0.494932425
RAB11FIP1P1,342.8951068,0.122076624,0.178892117,0.682403596,0.494983783
ZNF579,4.595980807,-0.416776677,0.610749094,-0.682402447,0.494984509
AMBRA1,2.208111715,-0.550132676,0.806175846,-0.682397865,0.494987405
FBXO4,0.990156392,-0.737225978,1.080377218,-0.682378308,0.494999768
ACTG1P17,10.44109706,-0.198144486,0.290384897,-0.682351213,0.495016897
MINDY1,4.767586753,-0.266834714,0.391080438,-0.682301358,0.495048414
MIR4453HG,3.508670927,0.295644127,0.433334952,0.68225313,0.495078904
DENND2B,33.26785603,0.128311737,0.188108527,0.68211547,0.495165939
TSSC2,33.56309103,0.134791092,0.197623414,0.682060332,0.495200802
IL3,0.977434398,-0.701746708,1.028881938,-0.682047844,0.495208698
AC022816.1,3.40106219,-0.402965976,0.590827656,-0.682036415,0.495215925
AC079742.1,94.2589963,-0.145744422,0.21369904,-0.682007844,0.495233991
MARCHF7,355.5836696,-0.210511369,0.308685224,-0.681961277,0.495263437
GPA33,0.738406051,-1.350060469,1.979698508,-0.681952561,0.495268948
ETNK2,6.963661324,-0.239902819,0.351806153,-0.681917633,0.495291035
MIR4650-1,0.311050977,1.195755105,1.753687145,0.68185201,0.495332533
MIR4650-2,0.311050977,1.195755105,1.753687145,0.68185201,0.495332533
MYH7,1335.295329,0.338207461,0.49601617,0.681847652,0.495335289
SLC25A47,0.470614398,0.938935382,1.377177539,0.681782381,0.495376567
FYB1,3.641388622,-0.550939427,0.808104125,-0.681767869,0.495385744
GPR143P,0.552270618,1.197153636,1.75599119,0.681753783,0.495394653
MIR5195,0.406762569,-1.171574403,1.718544874,-0.68172465,0.495413078
SPACA5,1.829609832,0.494613497,0.725533864,0.681723517,0.495413794
AC008277.1,172.7825603,-0.14483033,0.212451926,-0.68170872,0.495423153
NEUROG3,0.417139546,-0.926478744,1.359071033,-0.681700015,0.495428658
SH2D6,0.721832305,-0.842191968,1.23543866,-0.681694685,0.495432029
NR2F2,11.3052759,0.258177975,0.378821002,0.681530258,0.495536028
AL589765.3,1.320901716,0.474391673,0.696084393,0.681514594,0.495545935
LINC02428,17.95227856,-0.177043339,0.259781421,-0.681508858,0.495549564
NRG1-IT1,0.671014609,0.827415983,1.214105136,0.681502745,0.49555343
RPL26P30,2.179521173,-0.449080677,0.658968225,-0.68149064,0.495561088
PNMA6A,0.759933044,0.700137284,1.027481694,0.681410956,0.495611492
LINC01771,29.97031849,-0.162022836,0.237791049,-0.681366422,0.495639664
ARPP19,25.57823141,0.182611216,0.268025487,0.681320339,0.495668817
AC046195.2,1.929571022,0.502825994,0.738108443,0.681235933,0.495722215
DPPA3,1.079841209,0.786852611,1.155044545,0.681231399,0.495725083
