Gene Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue
COMMD1,18.89069396,-0.523956087,0.225948558,-2.3189176,0.020399505
NIBAN3,48.68296554,-0.367143861,0.158329699,-2.318856565,0.020402815
DHX9,5.492232412,1.179356272,0.508704818,2.318350899,0.020430258
SLCO3A1,8.320057554,-0.770644292,0.332460649,-2.318001528,0.020449238
LINC00678,10.78917442,0.615123235,0.265377419,2.317918526,0.020453749
CRYZL2P,75.92332487,0.244472111,0.105479227,2.317727541,0.020464133
AC087565.2,1.761064266,1.7764614,0.766765652,2.316824436,0.020513297
SELP,24.78521697,0.87968497,0.380379479,2.312650966,0.020741837
AC105180.2,72.55205756,-0.334699627,0.14481183,-2.311272676,0.020817798
AC024937.2,0.82911199,-2.336065271,1.010846571,-2.310998857,0.020832918
AC079035.1,42.63890603,0.337294803,0.145954427,2.310959728,0.020835079
PTPRCAP,1.182880201,2.447251262,1.059468371,2.309886099,0.020894461
ARFGEF2,12.48687494,1.645885711,0.712676357,2.309443403,0.020918989
AC006254.1,24.82448908,-0.623084809,0.269821266,-2.309250191,0.020929702
MRPS33P2,2.083987678,1.913784444,0.830185267,2.305249828,0.021152586
SPRED2,1.486233802,-2.589384846,1.12337097,-2.305013138,0.021165838
CALML6,12.93277619,-0.9709116,0.421333984,-2.304375239,0.021201589
AC092650.1,37.07006129,0.446416793,0.193772941,2.303813886,0.021233093
NSUN2,7.776312767,-1.02043904,0.443146797,-2.302711081,0.021295104
TMEM72,2.937109908,-1.192921314,0.518183627,-2.302120815,0.02132836
OR2AG1,12.76567129,0.728660418,0.316545716,2.301912111,0.021340129
DHRS11,7.50311559,1.134048416,0.492655424,2.30190994,0.021340252
LINC02833,25.1712606,0.426187807,0.185172962,2.301566072,0.021359655
DCDC2,4.836398441,0.974838639,0.423856625,2.299925448,0.021452444
HAX1,2.834103603,-1.119131417,0.486728271,-2.299294049,0.021488248
AL136102.1,4.833068959,-0.892047264,0.388099958,-2.298498739,0.02153342
MTMR9,10.38210192,0.724243743,0.315272884,2.297196425,0.021607567
PLXNA4,13.23667453,1.100751043,0.479270856,2.296720174,0.021634738
MTND4P12,10.2958584,0.685692848,0.298582986,2.296490023,0.021647879
LINC00620,6.765739075,0.768886192,0.335163629,2.294062136,0.02178693
OR52I1,38.5593549,0.362466383,0.158017653,2.293834743,0.021799993
AL050403.1,3.063945361,1.222083472,0.532883947,2.293338877,0.021828503
RPLP0P1,1.099011426,1.961052019,0.855247347,2.292964749,0.021850035
VANGL2,4.430152902,-2.366873174,1.032627436,-2.292088213,0.021900553
