"","ROW_NAMES","Halo_ARID4A_REPLICATE_dS_AVG","Halo_ARID4B_REPLICATE_dS_AVG","Halo_BRMS1_REPLICATE_dS_AVG","Halo_BRMS1L_REPLICATE_dS_AVG","Halo_GATAD1_REPLICATE_dS_AVG","HDAC1.Halo_REPLICATE_dS_AVG","HDAC2_Halo_REPLICATE_dS_AVG","Halo_ING1_REPLICATE_dS_AVG","Halo_ING2_REPLICATE_dS_AVG","MORF4L1_Halo_REPLICATE_dS_AVG","Halo_PHF12_REPLICATE_dS_AVG","Halo_RBBP4_REPLICATE_dS_AVG","Halo_SAP30_REPLICATE_dS_AVG","Halo_SAP30L_REPLICATE_dS_AVG","Halo_SAP130_REPLICATE_dS_AVG","SIN3A_Halo_REPLICATE_dS_AVG","SIN3B_2_Halo_REPLICATE_dS_AVG","Halo_SUDS3_REPLICATE_dS_AVG"
"91","HSPA4",-1.40735,3.664197,-0.8281094,0.03465504,0.8133874,-2.018013,0,-1.176497,3.85943,-1.819624,-0.1053039,3.449007,-1.341359,-1.475737,128.3523,-2.509064,0,-0.7808135
"92","KPNB1",-0.993238,-1.174748,-0.7648669,-0.9011155,3.248343,-3.331136,-0.8863499,-1.304833,0.980995,0,-0.5707474,3.903891,-0.8799559,-2.302137,-2.218541,0,90.69298,0.323485
"93","KPNA3",-0.8606629,-1.363058,-0.7464773,-0.9359496,0.4896708,-3.137723,-2.799653,0,-0.9288041,3.873055,-0.4855966,1.937193,-0.7726019,-2.210537,-2.118945,-1.725297,78.8244,-0.8666187
"94","DECR1",-0.3020591,2.245102,0,62.02491,0,-3.524182,0,0,0,0,0,0,9.378738,15.13077,-0.9641678,0.3156969,-0.8262211,10.14383
"95","HSPH1",-0.5325474,2.157822,-0.4183619,-0.3422283,-0.1316973,-0.6853131,0,0,-0.4920991,0,0,3.112647,1.992901,-1.132955,52.2181,0,0,-0.238232
"96","CANX",-0.7974,-0.9401055,-0.514894,-0.6018465,-0.4734661,0,0,0,-0.8126928,0,0.2529246,-1.04502,-0.5450754,-1.749536,-0.9496592,-0.8426274,122.7838,-0.6403402
"97","SAP30L",1.057199,0,-0.3220155,5.740455,0,-3.863604,-3.253922,-1.500478,-1.13246,0,0,-0.5376851,0,118.3973,3.415946,-1.973976,0,-0.8787989
"98","MTA3",0,0,0,0,0,-3.28503,97.88404,0,0,0,0,15.06397,0,0,-0.3458019,0,0,0
"99","ZNF219",0,0,0,0,0,67.39872,14.31774,0,0,0,0,12.04507,0,0,0,0,0,0
"100","HSPA4L",0,-0.4644877,-0.2622851,-0.376229,-0.1928465,-0.6228824,-0.6529889,-0.3328627,-0.3672377,0,-0.1734011,-0.2768527,-0.3442604,0,55.55669,0,0,-0.2210291
"101","RCOR3",-0.4581988,0,0,0,0,40.13001,157.6894,0,0,0,0,0,0,0,0,0,0,0
"102","MIER3",0,0,0,0,0,17.6138,111.4875,0,0,0,0,0,0,0,0,0,0,0
"103","MORF4L2",0,0,0,0,0,0,0,0,0,10.76927,99.4583,0,0,0,0,0,0,0
"104","ZNF512B",0,0,0,0,0,-4.147934,0,0,0,0,0,218.9028,0,0,0,0,0,0
"105","BCL11B",0,0,0,0,0,70.45421,34.79699,0,0,0,0,-0.8891362,0,0,0,0,0,0
"106","TRERF1",0,0,0,0,0,96.43915,11.26765,0,0,0,0,0,0,0,0,0,0,0
"107","ZNF521",0,0,0,0,0,69.52543,8.869546,0,0,0,0,-0.9339724,0,0,0,0,0,0
"108","MRFAP1",0,0,0,0,0,0,0,0,0,2298.892,0,0,0,0,0,0,0,0
"109","MRGBP",0,0,0,0,0,0,0,0,0,1507.332,0,0,0,0,0,0,0,0
"110","BRD8",0,0,0,0,0,0,0,0,0,3221.148,0,0,0,0,0,0,0,0
"111","SGF29",0,0,0,0,0,0,0,481.8706,0,0,0,0,0,0,0,0,0,0
"112","MRFAP1L1",0,0,0,0,0,0,0,0,0,124.1958,0,0,0,0,0,0,0,0
"113","LIN9",0,0,0,0,0,0,0,0,0,0,0,533.2179,0,0,0,0,0,0
"114","LYZ",0,0,0,0,0,0,0,0,-0.6656562,0.9107718,0,0,0,143.6782,0,0,0,0
"115","LIN52",0,0,0,0,0,0,0,0,0,0,0,68.33472,0,0,0,0,0,0
"116","SUZ12",0,0,0,0,0,0,0,0,0,0,0,361.3457,0,0,0,0,0,0
"117","SCOC",0,0,0,0,0,0,0,86.30285,0,0,0,0,0,0,0,0,0,-0.1978247
"118","LIN37",0,0,0,0,0,0,0,0,0,0,0,115.9619,0,0,0,0,0,0
"119","EZH2",0,0,0,0,0,0,0,0,0,0,0,320.826,0,0,0,0,0,0
"120","CHAF1A",0,0,0,0,0,0,0,0,0,0,0,283.6926,0,0,0,0,0,0
"121","AEBP2",0,0,0,0,0,0,0,0,0,0,0,141.8463,0,0,0,0,0,0
"122","MYBL2",0,0,0,0,0,0,0,0,0,0,0,150.1293,0,0,0,0,0,0
"123","EED",0,0,-0.3627514,0,0,0,0,0,0,0,0,116.7481,0,0,0,0,0,0
"124","LIN54",0,0,0,0,0,0,0,0,0,0,0,76.61771,0,0,0,0,0,0
"125","RNF41",0,0,0,0,-0.4603114,-2.026554,0,-1.028935,-0.4832632,0,0,0,0,0,157.6486,0,-1.265714,0
"126","PALB2",0,0,0,0,0,0,0,0,0,188.9327,0,0,0,0,0,0,0,0
"127","CHAF1B",0,0,0,0,0,0,-0.747562,0,0,0,0,134.1015,0,-0.6688395,0,0,0,0
"128","EP400",0,0,0,0,0,0,0,0,0,364.444,0,0,0,0,0,0,0,0
"129","BPTF",0,0,0,0,0,0,0,0,0,0,0,143.9171,0,0,0,0,0,0
"130","ASH1L",0,0,0,0,0,-0.8368658,0,0,0,260.7706,0,-1.210063,0,0,0,0,0,0
"131","PCBP1",369.6727,848.4357,236.2247,456.9391,150.0014,-387.8285,-324.783,133.6,695.9275,-11.18453,67.37298,-69.35408,9.46327,-95.33862,65.53904,-4.949472,-267.8061,16.54412
"132","TUBB",-69.41492,-52.50171,83.52369,-56.55613,28.46601,-93.01593,-140.1392,-86.56592,-52.38369,-87.05994,181.8429,-69.15515,147.7438,421.8453,412.1126,-15.4622,62.52292,-60.46866
"133","SNRPD1",-9.116733,-7.909211,9.941722,37.58096,12.74377,-45.60594,-32.52781,-11.44762,84.53744,-9.952075,329.7927,155.8909,-8.60601,-13.03503,-2.55988,-4.723633,-27.62783,-9.673106
"134","TUBA1C",-19.90625,-35.53689,43.618,-28.1201,-19.56859,37.41616,18.68745,-46.49462,-33.20425,-36.29838,42.1608,-45.5243,97.74526,194.5012,447.0207,-58.23961,88.99338,-23.31266
"135","HSPA8",-9.256558,-18.21663,27.59731,15.63088,99.84106,-118.8688,-98.30191,18.02634,28.36236,-33.77062,37.93933,-9.750266,-5.584485,-49.41354,839.4668,-47.71972,-84.26039,-3.180448
"136","U2AF2",13.07662,40.17061,60.06164,55.2641,140.3242,-84.1874,-62.35878,-3.957969,125.2284,-7.579875,80.21992,20.41987,28.06383,-7.034742,44.83218,-15.83549,-50.97086,-10.36992
"137","RCC2",0.3977989,30.81724,30.95895,73.17171,131.8479,-80.04189,-68.83059,1.006803,105.7764,76.36667,129.9285,36.88324,16.51869,-17.69482,-44.65683,114.8116,-45.53104,21.06621
"138","SNRPD2",2.216677,-1.824322,24.49107,8.485932,61.35829,-12.26663,-11.61434,-2.329769,77.20725,-0.8876285,12.5142,19.95959,4.32008,-8.361603,-8.338951,-4.184239,-6.027259,-1.32305
"139","RBM39",-3.639833,-5.92933,0.9482593,26.97105,285.4579,-79.73984,-59.6979,-5.1641,31.12964,148.4049,215.7128,16.46234,-10.19381,-42.96075,-40.50493,156.5351,-49.53383,-11.7005
"140","HMGB1",0.5346219,21.9397,12.60601,15.40225,21.88325,-20.77209,-18.20879,7.767261,50.40649,-0.08684957,58.75322,7.380621,7.257086,-6.611289,-14.74631,-3.194567,-14.03058,80.64409
"141","SNRPA",14.79565,27.54108,33.04225,15.31945,64.48846,-25.62852,-23.09582,-1.847503,99.99312,1.94858,85.18302,10.49093,-4.311509,-17.70578,-18.86212,32.52515,-20.51837,2.563086
"142","BTF3L4",-0.4158399,6.718237,48.7459,12.68945,5.930788,-14.2026,-11.27655,10.35522,61.89921,-2.091759,-0.01627878,-2.260044,14.67763,-9.375459,-7.974618,-6.282488,-5.342487,69.72296
"143","EIF1AX",7.79937,-0.1807996,12.42552,59.53123,14.35869,-9.831219,-11.43718,-1.425998,16.56399,-3.193208,8.932002,-1.576556,-3.158185,-8.514003,-8.227295,4.712212,-7.671154,111.9155
"144","NUCKS1",4.658496,-3.109565,17.25824,111.821,49.83167,-24.21054,-18.39857,-8.118049,51.43361,0.5126609,34.34158,33.06912,-1.951227,-9.724461,-6.84434,-5.45438,-11.50244,3.227805
"145","ENO1",0.05087124,57.97439,57.29257,55.75103,103.611,-37.28222,-27.95962,12.84283,109.2176,-12.62266,120.6373,43.30067,-3.538807,-25.87107,-22.03895,4.045731,-23.98787,8.542668
"146","CKB",5.736289,48.51837,60.35238,58.16751,140.5327,-33.06161,-26.43054,4.756597,38.97583,-10.40956,97.7008,13.58107,-0.1622823,-19.55741,-21.31862,32.23304,-22.57058,-1.283225
"147","EIF5A",2.577441,16.21175,20.8849,21.31206,14.28428,-16.05758,-12.09968,5.773855,12.20634,-1.098315,26.26267,22.18657,-1.0383,-10.84613,-10.59555,-3.394795,-11.95424,90.8794
"148","CPSF6",13.73131,10.96399,78.14525,89.34605,60.79754,-50.44482,-40.76987,1.547418,55.13258,20.06323,141.5424,1.873635,8.855027,-21.48146,-12.0632,-1.637096,-32.74623,-9.812847
