"","ROW_NAMES","Halo_ARID4A_REPLICATE_dS_AVG","Halo_ARID4B_REPLICATE_dS_AVG","Halo_BRMS1_REPLICATE_dS_AVG","Halo_BRMS1L_REPLICATE_dS_AVG","Halo_GATAD1_REPLICATE_dS_AVG","HDAC1.Halo_REPLICATE_dS_AVG","HDAC2_Halo_REPLICATE_dS_AVG","Halo_ING1_REPLICATE_dS_AVG","Halo_ING2_REPLICATE_dS_AVG","MORF4L1_Halo_REPLICATE_dS_AVG","Halo_PHF12_REPLICATE_dS_AVG","Halo_RBBP4_REPLICATE_dS_AVG","Halo_SAP30_REPLICATE_dS_AVG","Halo_SAP30L_REPLICATE_dS_AVG","Halo_SAP130_REPLICATE_dS_AVG","SIN3A_Halo_REPLICATE_dS_AVG","SIN3B_2_Halo_REPLICATE_dS_AVG","Halo_SUDS3_REPLICATE_dS_AVG"
"174","PUF60",35.90504,7.952107,67.59047,-3.462184,7.316257,-19.40564,-15.26882,-6.40597,31.44004,2.982929,11.62375,37.86008,-4.378986,4.048945,-8.025712,-6.411243,-11.46295,53.17211
"175","SSRP1",-0.6379777,-1.208423,-0.8151963,-1.041786,2.616289,-4.303741,-3.537982,-1.379903,0.8640253,10.85951,3.654311,61.98883,0.1219241,-2.753945,-2.621835,-1.783864,4.150543,0
"176","DDX46",-0.5054774,8.96281,1.469327,18.99467,0,-6.663826,-1.129135,-2.237446,16.92261,-3.346369,-1.218174,27.2219,-2.223265,132.6339,-5.712882,-2.939083,-5.409992,3.52836
"177","FBN2",0,-5.541035,0,0,321.8923,-18.41012,-6.043704,0,37.86947,-7.564628,-3.530353,13.90996,-4.75213,-10.75468,97.10047,202.7373,-2.256926,0
"178","FLNA",1.140582,5.77128,-0.7076073,0.7203054,21.56178,-2.736551,-1.438307,-1.337316,-0.9462029,-0.7870877,0,65.47334,-0.2228057,-2.379708,-1.866313,0.3211019,-1.34208,4.820725
"179","CSE1L",-0.4518773,-0.7457308,-0.4429954,-0.531307,-0.164542,-2.368296,-1.787869,-0.7331656,0,0,0,-0.7085765,-0.5033582,-1.247009,0,-0.9488317,62.46136,-0.4620371
"180","DSP",-0.7291594,-0.3577751,1.527464,-0.7068508,0,0,-0.809173,0,1.416217,-0.6760644,68.85155,-0.8841202,-0.5768848,1.228729,12.07511,-1.212147,0,0.6917939
"181","CTBP2",0,0,0,0,0,68.04325,15.43722,0,0,0,0,0,0,0,0,0,0,0
"182","ZNF592",0,0,0,0,0,56.03346,18.83222,0,0,0,0,-0.6710224,0,0,0,0,0,0
"183","MGA",0,0,0,0,0,60.77029,14.04167,0,-0.2898191,0,0,0,0,0,0,0,0,0
"184","TRMT1",0,0,0,0,0,-0.5190492,0,0,0,54.51935,0,0,0,0,0,0,0,0
"185","FBN1",0,0,0,0,70.10185,0,0,0,-0.5907942,0,0,-0.6307528,0,-1.364168,4.875618,25.39756,0,0
